class_id,class_name,instances,precision,recall,f1,map50,map75,map50_95
0,HM,2,1.0,0.8226434866501726,0.9026927017549713,0.995,0.8283333333333331,0.7783333333333333
1,LQS,5,0.9450093732615715,1.0,0.9717273204466798,0.995,0.995,0.8699999999999999
2,QHS,97,0.6539120589578326,0.7207218090553739,0.6856933952549547,0.7496380130856297,0.6533253369549854,0.524823954050335
3,MS,298,0.865153455536261,0.7718120805369127,0.8158215598147971,0.8422712989392207,0.6348529403076828,0.5569630076819114
4,A1_SU-35,209,0.9727292561874088,0.9952153110047847,0.9838438189356385,0.9904778325123154,0.9793668862081788,0.8513819716548502
5,A2_C-130,192,0.9715931110793083,1.0,0.9855919110484511,0.9944830349986642,0.9931797388915692,0.8076725869267207
6,A3_C-17,153,0.9854128961085953,1.0,0.9926528613166584,0.995,0.9935543403964455,0.8374640728143905
7,A4_C-5,76,0.929968584991274,0.881578947368421,0.9051274797900499,0.9737657802281457,0.9737657802281457,0.8501423205471946
8,A5_F-16,164,1.0,0.8424653027667783,0.9144978757555672,0.9291875115356127,0.8129944165309643,0.6713263274077185
9,A6_TU-160,50,0.9833089354850254,1.0,0.9915842336933288,0.995,0.995,0.8527920686005295
10,A7_E-3,83,0.9861446099995449,0.9759036144578314,0.9809973855691754,0.975,0.975,0.8373551582011751
11,A8_B-52,110,0.9851422468789369,1.0,0.9925155221776059,0.995,0.995,0.8466215225193159
12,A9_P-3C,133,0.9925289732941269,0.9988824214130169,0.99569556225464,0.994776119402985,0.9940871225269003,0.790961258200502
13,A10_B-1B,111,0.9921642752009263,0.990990990990991,0.9915772860238306,0.995,0.9936396103896104,0.8368924177394922
14,A11_E-8,65,0.9126027430358326,0.9692307692307692,0.9400647324739729,0.9464416823240352,0.9464416823240352,0.8325897632080286
15,A12_TU-22,88,0.9870707469526377,0.9772727272727273,0.9821473011647671,0.9944456105692061,0.9223081281720819,0.8226664620828916
16,A13_F-15,222,0.9780269504105212,0.9009009009009009,0.9378809943289949,0.957827197207423,0.9415168227860601,0.7453981977418017
17,A14_KC-135,211,0.9583517031342866,0.9715639810426541,0.9649126162040033,0.9802085783479413,0.9802085783479413,0.8098026370202343
18,A15_F-22,73,0.763618512134819,1.0,0.8659679027869543,0.9604000763363062,0.901995050088334,0.7440283962410109
19,A16_FA-18,316,0.976072177715048,0.9841772151898734,0.9801079405150004,0.9944671353774533,0.9887388246456348,0.7956159258951235
20,A17_TU-95,165,0.988400172086146,1.0,0.9941662507996647,0.995,0.9684602545012386,0.8601434044670828
21,A18_KC-10,38,0.9443156198515207,0.8926010659594227,0.9177303852618516,0.9861019948519949,0.9861019948519949,0.8281669687203962
22,A19_SU-34,153,0.9865629105839034,0.9597558960661404,0.9729747943018494,0.9923134245682632,0.9065511249041895,0.7552572971275542
23,A20_SU-24,134,0.9342801038172942,0.8955223880597015,0.9144907752627242,0.9658987425978639,0.940963336198538,0.8231203618582574
24,FSC,77,0.7836128730851809,0.6883116883116883,0.7328770968318742,0.7609502037747784,0.24763880972322588,0.3250108470119252
